,county,sub-county,Age,Male,Female,Total
32761,NAIROBI,NJIRU,41,4053,3475,7528
32762,NAIROBI,NJIRU,42,3971,3315,7286
32763,NAIROBI,NJIRU,43,3419,2900,6319
32764,NAIROBI,NJIRU,44,2689,2479,5168
32765,NAIROBI,NJIRU,40-44,19387,16734,36121
32766,NAIROBI,NJIRU,45,3940,3021,6961
32767,NAIROBI,NJIRU,46,2723,2311,5034
32768,NAIROBI,NJIRU,47,2887,2221,5108
32769,NAIROBI,NJIRU,48,2137,1725,3862
32770,NAIROBI,NJIRU,49,2390,1735,4125
32771,NAIROBI,NJIRU,45-49,14077,11013,25090
32772,NAIROBI,NJIRU,50,2587,2056,4643
32773,NAIROBI,NJIRU,51,1827,1289,3116
32774,NAIROBI,NJIRU,52,1992,1364,3356
32775,NAIROBI,NJIRU,53,1330,1010,2340
32776,NAIROBI,NJIRU,54,1595,1165,2760
32777,NAIROBI,NJIRU,50-54,9331,6884,16215
32778,NAIROBI,NJIRU,55,1472,1003,2475
32779,NAIROBI,NJIRU,56,1409,1061,2470
32780,NAIROBI,NJIRU,57,1177,923,2100
32781,NAIROBI,NJIRU,58,920,713,1633
32782,NAIROBI,NJIRU,59,957,712,1669
32783,NAIROBI,NJIRU,55-59,5935,4412,10347
32784,NAIROBI,NJIRU,60,975,779,1754
32785,NAIROBI,NJIRU,61,706,548,1254
32786,NAIROBI,NJIRU,62,614,395,1009
32787,NAIROBI,NJIRU,63,499,374,873
32788,NAIROBI,NJIRU,64,368,264,632
32789,NAIROBI,NJIRU,60-64,3162,2360,5522
32790,NAIROBI,NJIRU,65,461,373,834
32791,NAIROBI,NJIRU,66,298,242,540
32792,NAIROBI,NJIRU,67,412,365,777
32793,NAIROBI,NJIRU,68,205,168,373
32794,NAIROBI,NJIRU,69,277,244,521
32795,NAIROBI,NJIRU,65-69,1653,1392,3045
32796,NAIROBI,NJIRU,70,284,312,596
32797,NAIROBI,NJIRU,71,186,200,386
